Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,relative factor of certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,Max CommFreq,Min TSLC,DTM response
DER,Ex,1629393715.096317,0.38,0.1,0,0.0,0.1,1.0,1,0,1,1629393715.096317,1629393715.096317,1,0.38,0.19,0,0,0,0,0.21354156504062624,0.0,100.0,Do nothing
DCM,Ex,1629393715.096357,0.33,0.1,0,0.0,0.1,1.0,1,0,1,1629393715.096357,1629393715.096357,1,0.33,0.11,0,0,0,0,0.02345207879911704,0.0,100.0,Do nothing
DERAS,Ex,1629393715.096362,0.4,0.1,0,0.0,0.1,1.0,1,0,1,1629393715.096362,1629393715.096362,1,0.4,0.1,0,0,0,0,0.14142135623730953,0.0,100.0,Do nothing
DTM,Ex,1629393715.096365,0.37,0.1,0,0.0,0.1,1.0,1,0,1,1629393715.096365,1629393715.096365,1,0.37,0.074,0,0,0,0,0.12539936203984453,0.0,100.0,Do nothing
DER,Ex,1629394015.096369,0.26,0.2,0,0.0,0.00021147233108901255,1.0,2,0,2,1629394015.096369,1629393715.096317,0.006666665511661306,0.26,0.20166666666666666,300.00005197525024,0,0,0,0.19155503995805837,1,100.0,Do nothing
DCM,Ex,1629394015.096373,0.23,0.2,0,0.0,0.0002114723818440718,1.0,2,0,2,1629394015.096373,1629393715.096357,0.006666666311687912,0.23,0.12714285714285714,300.0000159740448,0,0,0,0.12880402241574673,1,100.0,Do nothing
DERAS,Ex,1629394015.096376,0.21,0.2,0,0.0,0.00021147238486920837,1.0,2,0,2,1629394015.096376,1629393715.096362,0.0066666663593716235,0.21,0.11375,300.0000138282776,0,0,0,0.11379806676741043,1,100.0,Do nothing
DTM,Ex,1629394015.096379,0.38,0.2,0,0.0,0.00021147238453308204,1.0,2,0,2,1629394015.096379,1629393715.096365,0.006666666354073433,0.38,0.108,300.00001406669617,0,0,0,0.032171415884290816,1,100.0,Do nothing
DER,Ex,1629394315.096383,0.24,0.0006344169932670377,0,0.0,0.00023215333618637068,1.0,3,0,3,1629394315.096383,1629393715.096317,0.0049999994496505076,0.24,0.20549999999999996,300.00001406669617,0,0,0,0.14768585277917146,1,100.0,Do nothing
DCM,Ex,1629394315.096386,0.17,0.0006344171455322154,0,0.0,0.00023215335149977828,1.0,3,0,3,1629394315.096386,1629393715.096357,0.004999999759594611,0.17,0.13103896103896104,300.00001287460327,0,0,0,0.11124443660392494,1,100.0,Do nothing
DERAS,Ex,1629394315.096389,0.28,0.0006344171546076251,0,0.0,0.00023215335205327496,1.0,3,0,3,1629394315.096389,1629393715.096362,0.004999999775489181,0.28,0.12760416666666666,300.00001311302185,0,0,0,0.08584032039817072,1,100.0,Do nothing
DTM,Ex,1629394315.096393,0.45,0.0006344171535992461,0,0.0,0.00023215335085403213,1.0,3,0,3,1629394315.096393,1629393715.096365,0.004999999765555075,0.45,0.1343076923076923,300.00001406669617,0,0,0,0.04040658742943172,1,100.0,Do nothing
DER,Ex,1629394615.096396,0.36,0.0009286133447454827,0,0.0,0.00026854699740471783,1.0,4,0,4,1629394615.096396,1629393715.096317,0.004444444054733122,0.36,0.21653571428571425,300.00001287460327,0,0,0,0.11125705311633895,1,100.0,Do nothing
DCM,Ex,1629394615.096399,0.24,0.0009286134059991131,0,0.0,0.00026854700821809754,1.0,4,0,4,1629394615.096399,1629393715.096357,0.004444444237226331,0.24,0.1383030303030303,300.00001311302185,0,0,0,0.08950354380549128,1,100.0,Do nothing
