Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,relative factor of certainty
DCM,Ind,1608189869.719499,20,-1.0,0,0.1,0.1,0,1,1,1608189925.856582,1608189869.719499,0.0181360221290478,20.0,10.0,0,0,0,0,13.784048752090222,0.8
DTM,N,1608189870.719519,43,-1.0,0,0.1,0.1,0,1,1,1608189926.856582,1608189870.719519,0.018457191082756553,43.0,14.333333333333334,0,0,0,0,24.681301964577692,0.8
DERAS,Dis,1608189871.719525,34,-1.0,0,0.1,0.1,0,1,1,1608189927.856582,1608189871.719525,0.01879281459840827,34.0,8.5,0,0,0,0,16.91646141090585,0.8
DER,Ex,1608189872.719530,18,0.1,0,0.0,0.1,1,0,1,1608189928.856582,1608189872.71953,0.01914097050984979,18.0,3.6,0,0,0,0,7.993747556684537,0.8
DER,N,1608189873.719534,32,-0.9,0,0.0,0.0,1,1,2,1608189930.856582,1608189872.71953,0.038253238743536026,32.0,8.333333333333334,1.0,0,0,0,14.618481453283716,0.0
DCM,Dis,1608189874.719538,21,-2.0,0,0.0009641490279361388,0.0004820745139680694,0,2,2,1608189932.856582,1608189869.719499,0.0361555885476052,21.0,11.571428571428571,6.0,0,0,0,14.868470956067693,0.8
DTM,Ind,1608189875.719543,30,-2.0,0,0.0008410868957504346,0.0004205434478752173,0,2,2,1608189934.856582,1608189870.719519,0.036797551689081505,30.0,16.291666666666668,7.0,0,0,0,25.799017146284577,0.8
DCM,Dis,1608189876.719547,36,-0.014462235419042083,0,2.0889513321306105e-05,6.9631711071020344e-06,0,3,3,1608189936.856582,1608189869.719499,0.05416567541955178,36.0,14.285714285714285,3.0,0,0,0,17.804493814764854,0.8
DTM,Dis,1608189877.719551,28,-0.012616303436256518,0,1.8543291903629843e-05,6.1810973012099475e-06,0,3,3,1608189938.856582,1608189870.719519,0.055117051511916454,28.0,17.4625,3.0,0,0,0,26.3900045712357,0.8
DCM,Ex,1608189878.719556,23,-0.000201931962105959,0,2.0086596648541902e-07,6.695532216180634e-08,1,3,4,1608189940.856582,1608189869.719499,0.07211727365156491,23.0,15.077922077922075,3.0,0,0,0,18.26781286889558,0.4
DCM,Ux,1608189879.719560,23,-2.6112575643104474e-06,0,1.1578056160493016e-08,2.894514040123254e-09,1,4,5,1608189942.856582,1608189869.719499,0.09006360344316244,23.0,15.738095238095235,1.0,0,0,0,18.640446179376546,0.48
DER,Ind,1608189880.719565,27,-0.0,0,0.0,0.0,1,2,3,1608189944.856582,1608189872.71953,0.05707019222833795,27.0,9.76923076923077,13.0,0,0,0,15.86364170690728,0.2666666666666667
DCM,Dis,1608189881.719569,32,-1.4183118796603945e-07,0,2.775562632680223e-10,5.551125265360446e-11,1,5,6,1608189946.856582,1608189869.719499,0.10787675991484526,32.0,16.899659863945576,3.0,0,0,0,19.57897668310978,0.5333333333333334
DCM,Ux,1608189882.719573,22,-3.2751639065626633e-09,0,2.393256040919051e-11,3.988760068198418e-12,1,6,7,1608189948.856582,1608189869.719499,0.12574621875145137,22.0,17.239682539682537,1.0,0,0,0,19.73791835347076,0.5714285714285715
DERAS,Ind,1608189883.719578,23,-2.0,0,0.00027076797283869886,0.00013538398641934943,0,2,2,1608189950.856582,1608189871.719525,0.03723059626532108,23.0,9.40625,22.0,0,0,0,17.503809109257716,0.8
DERAS,Dis,1608189884.719582,37,-0.0040615195925804825,0,1.8129091538728758e-05,6.043030512909586e-06,0,3,3,1608189952.856582,1608189871.719525,0.05579528525433769,37.0,11.029411764705882,1.0,0,0,0,19.12461713060308,0.8
DER,N,1608189885.719586,30,-0.0,0,0.0,0.0,1,3,4,1608189954.856582,1608189872.71953,0.07574860950807766,30.0,10.893162393162394,9.0,0,0,0,16.87401264266018,0.4
DERAS,Ux,1608189886.719590,21,-0.00024172122051638342,0,4.788315921929888e-07,1.197078980482472e-07,0,4,4,1608189956.856582,1608189871.719525,0.07428468493116865,21.0,11.554179566563468,3.0,0,0,0,19.394050772501267,0.8
DCM,Dis,1608189887.719595,20,-2.7522444470569085e-10,0,2.6646191477511943e-13,3.806598782501706e-14,1,7,8,1608189958.856582,1608189869.719499,0.1431497025673825,20.0,17.37769841269841,9.0,0,0,0,19.78461833553187,0.6000000000000001
DERAS,Ex,1608189888.719599,45,-4.6686080238816415e-06,0,7.10323973924435e-09,1.7758099348110876e-09,1,4,5,1608189960.856582,1608189871.719525,0.09271578795992241,45.0,13.146837682441397,3.0,0,0,0,21.145720103527847,0.48
DERAS,Ex,1608189889.719604,37,-6.748077752282132e-08,0,2.1057285378532384e-10,5.264321344633096e-11,2,4,6,1608189962.856582,1608189871.719525,0.11116733077897886,37.0,14.231072333239517,1.0,0,0,0,22.058569551654195,0.2666666666666667
DER,Dis,1608189890.719608,25,-0.0,0,0.0,0.0,1,4,5,1608189964.856582,1608189872.71953,0.09428466731942114,25.0,11.506503158677072,9.0,0,0,0,17.307304785311707,0.48
DTM,Ind,1608189891.719613,43,-0.0002472438920483979,0,5.319452894337438e-08,1.3298632235843595e-08,0,4,4,1608189966.856582,1608189870.719519,0.0726131326021778,43.0,18.5265625,27.0,0,0,0,27.228322130686823,0.8
